Field,Type,Level,Example
observer.vendor,keyword,core,
observer.version,keyword,core,
organization.id,keyword,extended,
organization.name,keyword,extended,
os.family,keyword,extended,debian
os.kernel,keyword,extended,4.4.0-112-generic
os.name,keyword,extended,Mac OS X
os.platform,keyword,extended,darwin
os.version,keyword,extended,10.12.6-rc2
process.args,keyword,extended,"['ssh', '-l', 'user', '10.0.0.16']"
process.executable,keyword,extended,/usr/bin/ssh
process.name,keyword,extended,ssh
process.pid,long,core,
process.ppid,long,extended,
process.start,date,extended,2016-05-23T08:05:34.853Z
process.thread.id,long,extended,4242
process.title,keyword,extended,
process.working_directory,keyword,extended,/home/alice
related.ip,ip,extended,
server.bytes,long,core,184
server.domain,keyword,core,
server.ip,ip,core,
server.mac,keyword,core,
server.packets,long,core,12
server.port,long,core,
service.ephemeral_id,keyword,extended,8a4f500f
service.id,keyword,core,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6
service.name,keyword,core,elasticsearch-metrics
service.state,keyword,core,
service.type,keyword,core,elasticsearch
service.version,keyword,core,3.2.4
source.bytes,long,core,184
source.domain,keyword,core,
source.ip,ip,core,
source.mac,keyword,core,
source.packets,long,core,12
source.port,long,core,
url.domain,keyword,extended,www.elastic.co
url.fragment,keyword,extended,
url.full,keyword,extended,https://www.elastic.co:443/search?q=elasticsearch#top
url.original,keyword,extended,"https://www.elastic.co:443/search?q=elasticsearch#top
or
/search?q=elasticsearch"
url.password,keyword,extended,
url.path,keyword,extended,
url.port,integer,extended,443
url.query,keyword,extended,
url.scheme,keyword,extended,https
url.username,keyword,extended,
user.email,keyword,extended,
user.full_name,keyword,extended,Albert Einstein
user.group,keyword,extended,
user.hash,keyword,extended,
user.id,keyword,core,
user.name,keyword,core,albert
user_agent.device.name,keyword,extended,iPhone
user_agent.name,keyword,extended,Safari
user_agent.original,keyword,extended,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
user_agent.version,keyword,extended,12.0
